Timeslot,Date,Time,Events,Session,Notes
0,7/14/2021,18:00,Opening,Session A1,
1,7/14/2021,18:30,Opening,Session A2,
2,7/14/2021,19:00,Team Videos,Session B1,"5 minutes each, 10 per hour. x2 times"
3,7/14/2021,19:30,Team Videos,Session B2,capacity 20 videos
4,7/14/2021,20:00,Team Videos,Session B3,
5,7/14/2021,20:30,Team Videos,Session B4,
6,7/14/2021,21:00,Skills Building,Session B5,"10 minutes video, 10 minutes Q & A, 3 per hour, x2, Each talk appears twice among 3 total 2 hour blocks"
7,7/14/2021,21:30,Skills Building,Session B6,Speaker must match time
8,7/14/2021,22:00,Skills Building,Session B7,Removed Wrapup
9,7/14/2021,22:30,Skills Building,Session B8,"capacity: 6 skills, 2 skills at the same time"
10,7/14/2021,23:00,,Session C3,
11,7/14/2021,23:30,,Session C4,
12,7/15/2021,0:00,,Session C5,
13,7/15/2021,0:30,,Session C6,
14,7/15/2021,1:00,,Session C7,
15,7/15/2021,1:30,,Session C8,
16,7/15/2021,2:00,,Session C9,
17,7/15/2021,2:30,,Session C10,
18,7/15/2021,3:00,,Session C11,
19,7/15/2021,3:30,,Session C12,
20,7/15/2021,4:00,,Session C13,
21,7/15/2021,4:30,,Session C14,
22,7/15/2021,5:00,Team Videos,Session B7,
23,7/15/2021,5:30,Team Videos,Session B8,
24,7/15/2021,6:00,Team Videos,Session B9,
25,7/15/2021,6:30,Team Videos,Session B10,
26,7/15/2021,7:00,Skills Building,Session B11,
27,7/15/2021,7:30,Skills Building,Session B12,
28,7/15/2021,8:00,Skills Building,Session B13,
29,7/15/2021,8:30,Skills Building,Session B14,
30,7/15/2021,9:00,,Session C17,
31,7/15/2021,9:30,,Session C18,
32,7/15/2021,10:00,,Session C19,
33,7/15/2021,10:30,,Session C20,
34,7/15/2021,11:00,,Session C21,
35,7/15/2021,11:30,,Session C22,
36,7/15/2021,12:00,,Session C23,
37,7/15/2021,12:30,Team Videos,Session B7,
38,7/15/2021,13:00,Team Videos,Session B8,
39,7/15/2021,13:30,Team Videos,Session B9,
40,7/15/2021,14:00,Team Videos,Session B10,
41,7/15/2021,14:30,Skills Building,Session B11,
42,7/15/2021,15:00,Skills Building,Session B12,
43,7/15/2021,15:30,Skills Building,Session B13,
44,7/15/2021,16:00,Skills Building,Session B14,
45,7/15/2021,16:30,,Session C32,
46,7/15/2021,17:00,,Session C33,
47,7/15/2021,17:30,,Session C34,
48,7/15/2021,18:00,,Session C35,
49,7/15/2021,18:30,,Session C36,
50,7/15/2021,19:00,,Session C37,
51,7/15/2021,19:30,,Session C38,
52,7/15/2021,20:00,Wrap Up,Session A3,
53,7/15/2021,20:30,Wrap Up,Session A4,
